table,column,n_missing,pct_missing,n_rows
orders,order_status,0,0,99441
orders,order_purchase_timestamp,0,0,99441
orders,order_delivered_customer_date,2965,0.029816675,99441
orders,order_estimated_delivery_date,0,0,99441
orders,customer_id,0,0,99441
order_items,order_id,0,0,112650
order_items,product_id,0,0,112650
order_items,seller_id,0,0,112650
order_items,price,0,0,112650
order_items,freight_value,0,0,112650
products,product_category_name,610,0.018512336,32951
products,product_category_name_english,623,0.018906862,32951
products,product_weight_g,2,6.07E-05,32951
products,product_length_cm,2,6.07E-05,32951
products,product_height_cm,2,6.07E-05,32951
products,product_width_cm,2,6.07E-05,32951
payments,order_id,0,0,103886
payments,payment_type,0,0,103886
payments,payment_installments,0,0,103886
payments,payment_value,0,0,103886
reviews,order_id,0,0,99224
reviews,review_score,0,0,99224
reviews,review_comment_title,87656,0.883415303,99224
reviews,review_comment_message,58247,0.587025316,99224
customers,customer_id,0,0,99441
customers,customer_city,0,0,99441
customers,customer_state,0,0,99441
customers,customer_zip_code_prefix,0,0,99441
sellers,seller_id,0,0,3095
sellers,seller_city,0,0,3095
sellers,seller_state,0,0,3095
sellers,seller_zip_code_prefix,0,0,3095
geolocation,geolocation_zip_code_prefix,0,0,1000163
geolocation,geolocation_lat,0,0,1000163
geolocation,geolocation_lng,0,0,1000163
geolocation,geolocation_city,0,0,1000163
geolocation,geolocation_state,0,0,1000163
