product_category_name_english,base_units,cal_units,base_rev,cal_rev,Δunits,Δrevenue
small_appliances,73.264553,79.78878499438076,19557.95895953423,21299.60119385276,6.524231994380756,1741.6422343185295
audio,62.5638367,71.31202228174858,6163.606795421639,7025.452441799547,8.74818558174858,861.8456463779085
fashion_bags_accessories,208.056482,217.31007249089814,13501.305935374203,14101.794565069118,9.253590490898148,600.4886296949153
books_general_interest,78.293634,90.23359126376502,3531.0711791690183,4069.5676429956366,11.939957263765024,538.4964638266183
construction_tools_safety,45.0163778,47.96311561655858,6917.010307024121,7369.792514693815,2.9467378165585814,452.7822076696939
christmas_supplies,25.6217061,29.390610494789644,1639.4497122213245,1880.6096460774813,3.7689043947896437,241.15993385615684
furniture_mattress_and_upholstery,5.9635042,7.999999999999995,685.6539016976952,919.7999999999994,2.0364957999999946,234.14609830230415
art,6.25178978,8.000000000000002,563.296686745584,720.8133333333335,1.7482102200000016,157.5166465877495
costruction_tools_tools,25.273187999999998,26.316151703075406,2963.644608465135,3085.947081866323,1.042963703075408,122.30247340118785
music,12.8765928,13.845985061507712,971.0667726643879,1044.1718867718348,0.9693922615077124,73.10511410744687
fashion_sport,7.05731484,8.000000000000004,546.2361711502075,619.2000000000003,0.9426851600000035,72.96382884979278
cine_photo,11.93059045,12.530293519970913,699.5327723027891,734.6954871987779,0.5997030699709125,35.162714895988756
fashion_shoes,25.1761671,25.363897449133923,4355.4768723249435,4387.954258700169,0.18773034913392195,32.47738637522525
furniture_bedroom,27.1943372,27.1943372,4550.9722787380215,4550.97233042,0.0,5.1681978220585734e-05
arts_and_craftmanship,23.7982263,23.7982263,1880.6356954073267,1880.6357097827947,0.0,1.4375468026628369e-05
fashion_male_clothing,10.7647177,10.7647177,1150.8559563589095,1150.855969307,0.0,1.2948090443387628e-05
security_and_services,5.26338842,5.26338842,745.5326450322567,745.5326527508998,0.0,7.71864313264814e-06
books_technical,61.958138500000004,61.958138500000004,3070.7069484726685,3070.706950163623,0.0,1.6909543774090707e-06
cds_dvds_musicals,7.27993741,7.27993741,473.19593012332916,473.19593165000003,0.0,1.5266708714989363e-06
home_comfort_2,9.2357317,9.2357317,119.14093766212464,119.14093893,0.0,1.2678753620321004e-06
fashion_childrens_clothes,6.34334036,6.34334036,332.96193430364127,332.9619354964,0.0,1.1927587024729291e-06
flowers,8.87490872,8.87490872,391.2614456719905,391.2614445571,0.0,-1.1148904945912363e-06
fashion_underwear_beach,12.3955848,12.3955848,866.6063238471746,866.6063223299999,0.0,-1.5171747236308875e-06
signaling_and_security,45.2138528,45.2138528,3857.747659094095,3857.7476520647997,0.0,-7.029295375104994e-06
la_cuisine,10.8680975,10.8680975,2113.8449722528458,2113.84496375,0.0,-8.502845957991667e-06
industry_commerce_and_business,26.7277247,26.7277247,7015.493203029633,7015.493179256001,0.0,-2.3773632165102754e-05
diapers_and_hygiene,8.83662433,7.999999999999997,616.111539452523,557.7799999999997,-0.836624330000002,-58.3315394525232
fashio_female_clothing,11.08268446,9.489379857781616,408.5631669130922,349.8259884571193,-1.5933046022183834,-58.73717845597287
tablets_printing_image,6.82223471,5.791253354552713,434.57634976506233,368.90283868500785,-1.0309813554472873,-65.67351108005448
food_drink,45.6890252,43.99193736128708,2001.9693311144908,1927.6075503412465,-1.6970878387129247,-74.36178077324439
