product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity,rev_lift,rev_lift_abs,units_lift,units_lift_abs
health_beauty,624.18054,103306.4606,165.5073411,612.6271,88168.93654,143.919427,0.15,11.553467,15137.52405,0.018858891,0.15,0.12572594,15137.52405,15137.52405,11.553467,11.553467
watches_gifts,483.2483,93634.40866,193.7604579,477.12796,80390.0285,168.4873547,0.15,6.120331,13244.38016,0.012827441,0.15,0.085516274,13244.38016,13244.38016,6.120331,6.120331
sports_leisure,449.01147,54786.81433,122.0165086,444.0881,47118.32923,106.1013119,0.15,4.9233704,7668.485105,0.011086472,0.15,0.073909815,7668.485105,7668.485105,4.9233704,4.9233704
auto,427.4273,59032.47701,138.1111502,431.6524,51840.00879,120.0966523,0.15,-4.2250977,7192.468221,-0.009788195,0.15,-0.065254631,7192.468221,7192.468221,-4.2250977,4.2250977
telephony,269.00156,40150.4087,149.2571571,256.9305,33346.70957,129.7888322,0.15,12.071045,6803.69913,0.04698175,0.15,0.313211655,6803.69913,6803.69913,12.071045,12.071045
housewares,538.29376,61907.251,115.006444,564.1838,56421.53719,100.0056035,0.15,-25.890015,5485.713812,-0.04588933,0.15,-0.305928861,5485.713812,5485.713812,-25.890015,25.890015
furniture_decor,441.59515,47427.03921,107.3993671,450.91675,42111.45366,93.39075399,0.15,-9.321594,5315.585547,-0.02067254,0.15,-0.137816928,5315.585547,5315.585547,-9.321594,9.321594
pet_shop,223.94717,32577.85723,145.4711691,218.35555,27621.24978,126.4966688,0.15,5.591629,4956.607447,0.02560791,0.15,0.1707194,4956.607447,4956.607447,5.591629,5.591629
computers_accessories,422.39572,45026.23012,106.5972656,435.4534,40363.60077,92.69327442,0.15,-13.057678,4662.629355,-0.029986396,0.15,-0.19990931,4662.629355,4662.629355,-13.057678,13.057678
perfumery,267.15155,34376.44204,128.6776803,266.63928,29835.23769,111.8936351,0.15,0.51226807,4541.204347,0.001921203,0.15,0.012808017,4541.204347,4541.204347,0.51226807,0.51226807
construction_tools_construction,285.20483,43960.45004,154.1364149,281.44995,39437.89598,140.1240136,0.1,3.7548828,4522.554067,0.01334121,0.1,0.133412099,4522.554067,4522.554067,3.7548828,3.7548828
home_construction,75.53498,15558.35275,205.9754554,62.312904,11160.80787,179.1090916,0.15,13.222076,4397.544882,0.21218841,0.15,1.414589385,4397.544882,4397.544882,13.222076,13.222076
garden_tools,215.6965,27882.61693,129.2678189,211.44011,23767.30651,112.406799,0.15,4.2563934,4115.310425,0.020130493,0.15,0.134203285,4115.310425,4115.310425,4.2563934,4.2563934
computers,28.30114,27397.89173,968.084375,27.899677,23486.29768,841.8125,0.15,0.40146255,3911.594048,0.014389506,0.15,0.095930037,3911.594048,3911.594048,0.40146255,0.40146255
office_furniture,95.334015,24511.6126,257.1129793,93.46699,20897.02188,223.5765038,0.15,1.8670273,3614.59072,0.01997526,0.15,0.133168399,3614.59072,3614.59072,1.8670273,1.8670273
cool_stuff,163.05038,25579.58435,156.8814703,162.2482,22133.6842,136.4186698,0.15,0.80218506,3445.900152,0.004944185,0.15,0.032961232,3445.900152,3445.900152,0.80218506,0.80218506
small_appliances,74.58412,22896.75049,306.9922844,73.26456,19557.95896,266.9498125,0.15,1.3195648,3338.791526,0.018010957,0.15,0.120073048,3338.791526,3338.791526,1.3195648,1.3195648
baby,233.69067,26314.2715,112.6030024,236.46814,23153.9326,97.91565425,0.15,-2.7774658,3160.3389,-0.011745624,0.15,-0.078304162,3160.3389,3160.3389,-2.7774658,2.7774658
bed_bath_table,532.621,56774.09177,106.5938009,578.4978,53621.11163,92.69026163,0.15,-45.87683,3152.980137,-0.07930338,0.15,-0.528689176,3152.980137,3152.980137,-45.87683,45.87683
toys,215.0161,25671.62909,119.3939886,218.77393,22713.29724,103.8208596,0.15,-3.7578278,2958.331858,-0.017176762,0.15,-0.114511748,2958.331858,2958.331858,-3.7578278,3.7578278
air_conditioning,40.31897,8691.903752,215.5785208,31.453566,5896.272167,187.4595833,0.15,8.865404,2795.631585,0.2818569,0.15,1.879045963,2795.631585,2795.631585,8.865404,8.865404
home_appliances_2,42.601116,24867.94985,583.7393833,42.25154,22421.71713,530.6721667,0.1,0.34957504,2446.232712,0.008273664,0.1,0.082736639,2446.232712,2446.232712,0.34957504,0.34957504
consoles_games,98.97597,11654.27316,117.7485103,92.79386,9501.164345,102.3900089,0.15,6.182106,2153.108819,0.06662193,0.15,0.444146196,2153.108819,2153.108819,6.182106,6.182106
electronics,209.20303,22859.8197,109.2709723,218.28856,20741.39398,95.01823676,0.15,-9.0855255,2118.425724,-0.04162163,0.15,-0.277477528,2118.425724,2118.425724,-9.0855255,9.0855255
fixed_telephony,50.28755,15344.48091,305.1347708,49.85666,13228.6957,265.3345833,0.15,0.43089294,2115.785211,0.008642636,0.15,0.057617575,2115.785211,2115.785211,0.43089294,0.43089294
construction_tools_lights,96.818146,15317.91845,158.2132949,99.09086,13632.60092,137.5767782,0.15,-2.2727127,1685.317527,-0.022935644,0.15,-0.152904292,1685.317527,1685.317527,-2.2727127,2.2727127
fashion_bags_accessories,203.22336,15165.82384,74.62637863,208.05649,13501.30594,64.89250316,0.15,-4.83313,1664.517906,-0.023229893,0.15,-0.154865955,1664.517906,1664.517906,-4.83313,4.83313
musical_instruments,76.56305,21545.58924,281.4097517,82.09787,20089.68822,244.7041319,0.15,-5.5348206,1455.901022,-0.067417346,0.15,-0.449448973,1455.901022,1455.901022,-5.5348206,5.5348206
luggage_accessories,92.68572,11105.12148,119.8148045,92.80792,9669.359595,104.1867865,0.15,-0.12220001,1435.761883,-0.001316698,0.15,-0.008777987,1435.761883,1435.761883,-0.12220001,0.12220001
food,141.41533,11250.33958,79.55530788,143.6372,9936.611095,69.17852859,0.15,-2.221878,1313.728486,-0.01546868,0.15,-0.103124535,1313.728486,1313.728486,-2.221878,2.221878
furniture_living_room,75.76862,10780.52964,142.282246,76.54932,9470.963588,123.7236922,0.15,-0.78069305,1309.566048,-0.010198563,0.15,-0.067990422,1309.566048,1309.566048,-0.78069305,0.78069305
small_appliances_home_oven_and_coffee,29.009962,7408.00361,255.360683,27.93364,6202.742132,222.0527679,0.15,1.0763226,1205.261478,0.03853141,0.15,0.256876076,1205.261478,1205.261478,1.0763226,1.0763226
stationery,197.9276,20481.40059,103.4792595,216.83475,19511.21728,89.98196479,0.15,-18.90715,970.1833019,-0.08719613,0.15,-0.581307511,970.1833019,970.1833019,-18.90715,18.90715
books_imported,12.903541,3223.8255,249.840375,10.63573,2310.638847,217.2525,0.15,2.2678108,913.1866523,0.21322569,0.15,1.421504617,913.1866523,913.1866523,2.2678108,2.2678108
kitchen_dining_laundry_garden_furniture,30.948341,4847.095364,156.6189107,28.894114,3935.099577,136.1903571,0.15,2.0542278,911.9957869,0.07109503,0.15,0.473966847,911.9957869,911.9957869,2.0542278,2.0542278
audio,62.33629,7062.367669,113.2946458,62.563835,6163.606795,98.51708333,0.15,-0.22754669,898.7608733,-0.003637032,0.15,-0.024246882,898.7608733,898.7608733,-0.22754669,0.22754669
costruction_tools_garden,21.540745,2618.77374,121.5730313,15.989724,1767.199318,110.5209375,0.1,5.5510206,851.5744223,0.34716174,0.1,3.471617401,851.5744223,851.5744223,5.5510206,5.5510206
