product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity
agro_industry_and_commerce,33.63311,5443.007632,161.8348056,40.933495,7793.487444,190.3938889,-0.15,-7.3003845,-2350.479812,-0.17834745,-0.15,1.188983023
air_conditioning,40.189842,6403.87534,159.3406458,31.453566,5896.272167,187.4595833,-0.15,8.736277,507.6031728,0.27775156,-0.15,-1.8516771
art,7.5969443,581.8227531,76.58641667,6.2517896,563.2966867,90.10166667,-0.15,1.3451548,18.5260664,0.21516316,-0.15,-1.434421043
arts_and_craftmanship,18.192743,1222.016914,67.17056696,23.798225,1880.635695,79.02419643,-0.15,-5.605482,-658.6187812,-0.23554201,-0.15,1.570280095
audio,75.815384,6348.743601,83.73952083,62.563835,6163.606795,98.51708333,-0.15,13.251549,185.1368057,0.21180844,-0.15,-1.412056287
auto,432.94858,44196.32478,102.0821545,431.6524,51840.00879,120.0966523,-0.15,1.2961731,-7643.684008,0.003002817,-0.15,-0.020018779
baby,254.69905,21198.17058,83.22830612,236.46814,23153.9326,97.91565425,-0.15,18.230911,-1955.762028,0.07709669,-0.15,-0.513977955
bed_bath_table,618.5888,48736.58454,78.78672239,578.4978,53621.11163,92.69026163,-0.15,40.091003,-4884.527086,0.06930191,-0.15,-0.462012738
books_general_interest,70.57334,2705.450856,38.33530782,78.29363,3531.071179,45.10036214,-0.15,-7.720291,-825.6203227,-0.098606884,-0.15,0.65737923
books_imported,8.7083845,1608.130484,184.664625,10.63573,2310.638847,217.2525,-0.15,-1.9273453,-702.5083637,-0.1812142,-0.15,1.208094656
books_technical,61.581734,2594.244201,42.12684517,61.958138,3070.706948,49.56099432,-0.15,-0.3764038,-476.4627472,-0.006075131,-0.15,0.040500875
cds_dvds_musicals,6.9686747,385.0192848,55.25,7.2799373,473.1959301,65,-0.15,-0.3112626,-88.17664529,-0.042756222,-0.15,0.285041481
christmas_supplies,24.941874,1356.556974,54.3887375,25.621706,1639.449712,63.98675,-0.15,-0.67983246,-282.8927378,-0.026533458,-0.15,0.176889723
cine_photo,11.896726,592.9150706,49.83851042,11.930591,699.5327723,58.63354167,-0.15,-0.033864975,-106.6177017,-0.002838499,-0.15,0.018923329
computers,28.998451,20749.57026,715.540625,27.899677,23486.29768,841.8125,-0.15,1.098774,-2736.727419,0.039383035,-0.15,-0.262553568
computers_accessories,462.80518,36464.08869,78.78928326,435.4534,40363.60077,92.69327442,-0.15,27.351776,-3899.512076,0.06281218,-0.15,-0.418747862
consoles_games,101.53431,8836.683852,87.03150759,92.79386,9501.164345,102.3900089,-0.15,8.740448,-664.480493,0.094192095,-0.15,-0.627947301
construction_tools_construction,273.21912,32541.87664,119.1054115,281.44995,39437.89598,140.1240136,-0.15,-8.230835,-6896.019337,-0.0292444,-0.15,0.19496267
construction_tools_lights,91.98744,10757.03519,116.9402615,99.09086,13632.60092,137.5767782,-0.15,-7.1034164,-2875.565738,-0.07168589,-0.15,0.477905919
construction_tools_safety,45.576305,5952.589452,130.6071042,45.016376,6917.010307,153.6554167,-0.15,0.5599289,-964.4208547,0.012438337,-0.15,-0.082922249
cool_stuff,149.65105,17352.91733,115.9558693,162.2482,22133.6842,136.4186698,-0.15,-12.597153,-4780.766866,-0.07764125,-0.15,0.517608325
costruction_tools_garden,11.516404,1081.883188,93.94279688,15.989724,1767.199318,110.5209375,-0.15,-4.47332,-685.3161296,-0.27976218,-0.15,1.865081191
costruction_tools_tools,20.817587,2074.987048,99.67471875,25.273188,2963.644608,117.264375,-0.15,-4.4556007,-888.6575606,-0.17629753,-0.15,1.17531687
diapers_and_hygiene,6.660472,394.7270402,59.264125,8.836624,616.1115395,69.7225,-0.15,-2.1761522,-221.3844993,-0.24626511,-0.15,1.641767422
drinks,42.79709,1776.914578,41.5195191,48.00615,2344.932085,48.84649306,-0.15,-5.2090607,-568.0175066,-0.1085082,-0.15,0.723387996
dvds_blu_ray,9.353107,375.7137562,40.1699375,9.0743475,428.8423282,47.25875,-0.15,0.27875996,-53.12857202,0.03071956,-0.15,-0.204797064
electronics,227.87653,18404.56153,80.76550124,218.28856,20741.39398,95.01823676,-0.15,9.587967,-2336.83245,0.04392336,-0.15,-0.292822396
fashio_female_clothing,11.28413,353.5910469,31.33525,11.0826845,408.5631669,36.865,-0.15,0.20144558,-54.97211997,0.018176606,-0.15,-0.121177373
fashion_bags_accessories,224.31259,12372.77504,55.15862768,208.05649,13501.30594,64.89250316,-0.15,16.256104,-1128.530898,0.07813312,-0.15,-0.520887474
fashion_childrens_clothes,5.7201495,255.2130456,44.6165,6.3433404,332.9619343,52.49,-0.15,-0.6231909,-77.74888869,-0.098243326,-0.15,0.654955506
fashion_male_clothing,8.9532795,813.6158442,90.8735,10.764717,1150.855956,106.91,-0.15,-1.8114376,-337.2401121,-0.16827545,-0.15,1.121836305
fashion_shoes,26.112362,3839.822696,147.05,25.176167,4355.476872,173,-0.15,0.9361954,-515.6541765,0.03718578,-0.15,-0.247905205
fashion_sport,7.238136,476.1969592,65.79,7.057315,546.2361712,77.4,-0.15,0.18082094,-70.03921198,0.025621776,-0.15,-0.170811837
fashion_underwear_beach,10.453079,621.180759,59.425625,12.395585,866.6063238,69.9125,-0.15,-1.9425058,-245.4255649,-0.15670949,-0.15,1.044729948
fixed_telephony,48.553604,10950.50723,225.5343958,49.85666,13228.6957,265.3345833,-0.15,-1.3030548,-2278.188464,-0.026136024,-0.15,0.174240159
flowers,8.614011,322.7955168,37.4733125,8.874908,391.2614457,44.08625,-0.15,-0.26089764,-68.46592891,-0.02939722,-0.15,0.195981463
food,141.46126,8318.169706,58.8017493,143.6372,9936.611095,69.17852859,-0.15,-2.175949,-1618.44139,-0.015148924,-0.15,0.100992825
food_drink,40.27684,1500.098791,37.24469792,45.689026,2001.969331,43.81729167,-0.15,-5.4121857,-501.8705401,-0.11845702,-0.15,0.789713462
furniture_bedroom,27.759533,3948.724092,142.2475,27.194336,4550.972279,167.35,-0.15,0.565197,-602.2481863,0.02078363,-0.15,-0.138557528
furniture_decor,475.61105,37755.02426,79.38214089,450.91675,42111.45366,93.39075399,-0.15,24.694305,-4356.4294,0.054764666,-0.15,-0.365097771
furniture_living_room,76.41278,8035.960761,105.1651384,76.54932,9470.963588,123.7236922,-0.15,-0.13653564,-1435.002827,-0.00178363,-0.15,0.011890866
furniture_mattress_and_upholstery,6.866894,671.0929677,97.72875,5.9635043,685.6539017,114.975,-0.15,0.90338945,-14.56093404,0.15148634,-0.15,-1.009908915
garden_tools,222.37796,21247.27602,95.54577915,211.44011,23767.30651,112.406799,-0.15,10.937851,-2520.030484,0.051730257,-0.15,-0.344868377
health_beauty,614.31256,75149.78642,122.331513,612.6271,88168.93654,143.919427,-0.15,1.6854858,-13019.15011,0.002751243,-0.15,-0.018341619
home_appliances,120.71273,8980.832756,74.39838909,114.69403,10038.88385,87.52751658,-0.15,6.0186996,-1058.05109,0.052476138,-0.15,-0.349840919
home_appliances_2,44.744457,20182.94279,451.0713417,42.25154,22421.71713,530.6721667,-0.15,2.492916,-2238.774342,0.05900178,-0.15,-0.393345207
home_comfort_2,24.784292,271.7597681,10.965,9.235731,119.1409377,12.9,-0.15,15.548561,152.6188305,1.6835225,-0.15,-11.22348309
home_confort,61.42701,6433.873438,104.7401344,60.304256,7430.913027,123.2236875,-0.15,1.1227531,-997.039589,0.01861814,-0.15,-0.124120936
home_construction,69.023346,10508.30247,152.2427279,62.312904,11160.80787,179.1090916,-0.15,6.7104416,-652.5053923,0.10768944,-0.15,-0.717929602
housewares,636.255,54084.70783,85.00476298,564.1838,56421.53719,100.0056035,-0.15,72.07123,-2336.829355,0.12774424,-0.15,-0.851628284
industry_commerce_and_business,24.926487,5561.298708,223.108,26.727724,7015.493203,262.48,-0.15,-1.8012371,-1454.194495,-0.06739209,-0.15,0.44928059
kitchen_dining_laundry_garden_furniture,27.818407,3220.309029,115.7618036,28.894114,3935.099577,136.1903571,-0.15,-1.0757065,-714.7905487,-0.037229262,-0.15,0.248195082
la_cuisine,9.762507,1613.986503,165.325,10.868097,2113.844972,194.5,-0.15,-1.1055899,-499.8584694,-0.10172801,-0.15,0.678186715
luggage_accessories,93.078705,8242.935733,88.55876857,92.80792,9669.359595,104.1867865,-0.15,0.27078247,-1426.423862,0.002917666,-0.15,-0.019451103
market_place,35.221657,3636.381589,103.2427708,36.48723,4431.814776,121.4620833,-0.15,-1.2655716,-795.4331867,-0.034685332,-0.15,0.231235549
music,11.782338,755.2636115,64.10133333,12.876593,971.0667727,75.41333333,-0.15,-1.0942545,-215.8031612,-0.08498013,-0.15,0.566534201
musical_instruments,78.3562,16297.97386,207.9985122,82.09787,20089.68822,244.7041319,-0.15,-3.7416687,-3791.714358,-0.04557571,-0.15,0.303838054
office_furniture,97.53947,18536.40321,190.0400282,93.46699,20897.02188,223.5765038,-0.15,4.0724792,-2360.618667,0.043571312,-0.15,-0.290475413
party_supplies,10.351116,796.0579811,76.90552083,10.096491,913.5010611,90.47708333,-0.15,0.25462532,-117.44308,0.025219189,-0.15,-0.168127927
perfumery,272.74136,25940.31903,95.10958982,266.63928,29835.23769,111.8936351,-0.15,6.1020813,-3894.91866,0.022885155,-0.15,-0.1525677
pet_shop,225.6001,24257.01232,107.5221685,218.35555,27621.24978,126.4966688,-0.15,7.2445526,-3364.237461,0.03317778,-0.15,-0.221185212
security_and_services,4.848262,583.7222124,120.39825,5.2633886,745.532645,141.645,-0.15,-0.4151268,-161.8104326,-0.07887063,-0.15,0.525804212
signaling_and_security,38.997646,2828.261821,72.5239125,45.213852,3857.747659,85.32225,-0.15,-6.2162056,-1029.485838,-0.13748454,-0.15,0.91656357
small_appliances,73.19368,16608.18291,226.9073406,73.26456,19557.95896,266.9498125,-0.15,-0.070877075,-2949.776048,-0.000967413,-0.15,0.006449419
small_appliances_home_oven_and_coffee,25.35779,4786.152247,188.7448527,27.93364,6202.742132,222.0527679,-0.15,-2.5758495,-1416.589885,-0.092213176,-0.15,0.614754508
sports_leisure,492.76062,44440.16462,90.18611508,444.0881,47118.32923,106.1013119,-0.15,48.672516,-2678.164611,0.109601036,-0.15,-0.730673571
stationery,228.38206,17467.72673,76.48467007,216.83475,19511.21728,89.98196479,-0.15,11.5473175,-2043.490552,0.053254,-0.15,-0.355026672
tablets_printing_image,7.6595273,414.7251025,54.145,6.8222346,434.5763498,63.7,-0.15,0.8372927,-19.85124724,0.12272997,-0.15,-0.818199813
