product_category_name_english,scenario,rev_lift,units_lift,revenue0,revenue,units0,units,price0,price,elasticity,within_10pct,positive_lift,recommended,__scenario__,price_s,units_s,unit_cost,profit0,profit_best,profit_lift
construction_tools_construction,0.1,4522.55407,3.754884,39437.89597,43960.45004,281.449947,285.204831,140.1240136,154.1364149,0.133412142,TRUE,TRUE,TRUE,0.1,154.1364149,285.20483,91.08060884,13803.26367,17983.82045,4180.556777
home_appliances_2,0.1,2446.23271,0.3495753,22421.71713,24867.94984,42.2515415,42.6011168,530.6721667,583.7393833,0.082736697,TRUE,TRUE,TRUE,0.1,583.7393833,42.601116,344.9369084,7847.600976,10173.25194,2325.65096
agro_industry_and_commerce,0.1,815.8732285,0.1743965,7793.487444,8609.360672,40.9334962,41.1078927,190.3938889,209.4332778,0.042604839,TRUE,TRUE,TRUE,0.1,209.4332778,41.10789,123.7560278,2727.720635,3522.010969,794.2903344
home_confort,0.1,464.4885309,-2.0554092,7430.913027,7895.401558,60.3042572,58.248848,123.2236875,135.5460563,-0.340839816,TRUE,TRUE,TRUE,0.1,135.5460563,58.248848,80.09539688,2600.81953,3229.937032,629.1175019
costruction_tools_garden,0.1,851.5744223,5.5510215,1767.199318,2618.77374,15.9897242,21.5407457,110.5209375,121.5730313,3.471618025,TRUE,TRUE,TRUE,0.1,121.5730313,21.540745,71.83860938,618.5197581,1071.3165,452.7967423
music,0.1,684.7643487,7.0840819,971.0667728,1655.831122,12.8765928,19.9606747,75.41333333,82.95466667,5.501518922,TRUE,TRUE,TRUE,0.1,82.95466667,19.960674,49.01866666,339.8733747,677.385433,337.5120582
fashion_sport,0.1,231.8481089,2.08156556,546.2361712,778.08428,7.05731484,9.1388804,77.4,85.14,2.949514946,TRUE,TRUE,TRUE,0.1,85.14,9.138881,50.31,191.182659,318.3072252,127.1245662
security_and_services,0.1,179.8280799,0.67566363,745.5326451,925.360725,5.26338842,5.93905205,141.645,155.8095,1.283704671,TRUE,TRUE,TRUE,0.1,155.8095,5.939052,92.06925,260.9364285,378.5566592,117.6202308
arts_and_craftmanship,0.05,150.9256221,0.685671,1880.635695,2031.561318,23.7982263,24.4838973,79.02419643,82.97540625,0.576237062,TRUE,TRUE,TRUE,0.05,82.97540625,24.483898,51.36572768,658.2224984,773.9281459,115.7056475
tablets_printing_image,0.1,123.4309165,1.14133413,434.5763498,558.0072663,6.82223471,7.96356884,63.7,70.07,1.672962275,TRUE,TRUE,TRUE,0.1,70.07,7.9635687,41.405,152.1017229,228.2756968,76.17397393
art,-0.1,304.6928618,4.45203912,563.2966867,867.9895485,6.25178978,10.7038289,90.10166667,81.0915,-7.121223322,TRUE,TRUE,TRUE,-0.1,81.0915,10.703829,58.56608334,197.1538376,241.1082081,43.95437053
signaling_and_security,-0.05,211.1908852,4.985166,3857.747659,4068.938544,45.2138528,50.1990188,85.32225,81.0561375,-2.205149834,TRUE,TRUE,TRUE,-0.05,81.0561375,50.19902,55.4594625,1350.211678,1284.928,-65.28367796
air_conditioning,0,0,0,5896.272167,,31.4535651,,187.4595833,,,TRUE,TRUE,TRUE,0,,,121.8487291,2063.695272,,
audio,0,0,0,6163.606795,,62.5638367,,98.51708333,,,TRUE,TRUE,TRUE,0,,,64.03610416,2157.26235,,
auto,0,0,0,51840.00879,,431.652404,,120.0966523,,,TRUE,TRUE,TRUE,0,,,78.062824,18144.00304,,
baby,0,0,0,23153.9326,,236.468138,,97.91565425,,,TRUE,TRUE,TRUE,0,,,63.64517526,8103.876355,,
