product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity,rev_lift,rev_lift_abs,units_lift,units_lift_abs
watches_gifts,466.79407,66851.5635,143.2142515,477.12796,80390.0285,168.4873547,-0.15,-10.333893,-13538.465,-0.021658536,-0.15,0.14439024,-13538.465,13538.465,-10.333893,10.333893
health_beauty,614.31256,75149.78642,122.331513,612.6271,88168.93654,143.919427,-0.15,1.6854858,-13019.15011,0.002751243,-0.15,-0.018341619,-13019.15011,13019.15011,1.6854858,1.6854858
auto,432.94858,44196.32478,102.0821545,431.6524,51840.00879,120.0966523,-0.15,1.2961731,-7643.684008,0.003002817,-0.15,-0.020018779,-7643.684008,7643.684008,1.2961731,1.2961731
construction_tools_construction,273.21912,32541.87664,119.1054115,281.44995,39437.89598,140.1240136,-0.15,-8.230835,-6896.019337,-0.0292444,-0.15,0.19496267,-6896.019337,6896.019337,-8.230835,8.230835
telephony,254.69556,28098.14199,110.3205074,256.9305,33346.70957,129.7888322,-0.15,-2.2349548,-5248.567576,-0.008698674,-0.15,0.057991159,-5248.567576,5248.567576,-2.2349548,2.2349548
bed_bath_table,618.5888,48736.58454,78.78672239,578.4978,53621.11163,92.69026163,-0.15,40.091003,-4884.527086,0.06930191,-0.15,-0.462012738,-4884.527086,4884.527086,40.091003,40.091003
cool_stuff,149.65105,17352.91733,115.9558693,162.2482,22133.6842,136.4186698,-0.15,-12.597153,-4780.766866,-0.07764125,-0.15,0.517608325,-4780.766866,4780.766866,-12.597153,12.597153
furniture_decor,475.61105,37755.02426,79.38214089,450.91675,42111.45366,93.39075399,-0.15,24.694305,-4356.4294,0.054764666,-0.15,-0.365097771,-4356.4294,4356.4294,24.694305,24.694305
computers_accessories,462.80518,36464.08869,78.78928326,435.4534,40363.60077,92.69327442,-0.15,27.351776,-3899.512076,0.06281218,-0.15,-0.418747862,-3899.512076,3899.512076,27.351776,27.351776
perfumery,272.74136,25940.31903,95.10958982,266.63928,29835.23769,111.8936351,-0.15,6.1020813,-3894.91866,0.022885155,-0.15,-0.1525677,-3894.91866,3894.91866,6.1020813,6.1020813
musical_instruments,78.3562,16297.97386,207.9985122,82.09787,20089.68822,244.7041319,-0.15,-3.7416687,-3791.714358,-0.04557571,-0.15,0.303838054,-3791.714358,3791.714358,-3.7416687,3.7416687
pet_shop,225.6001,24257.01232,107.5221685,218.35555,27621.24978,126.4966688,-0.15,7.2445526,-3364.237461,0.03317778,-0.15,-0.221185212,-3364.237461,3364.237461,7.2445526,7.2445526
housewares,590.68195,53164.35608,90.00504316,564.1838,56421.53719,100.0056035,-0.1,26.498169,-3257.181102,0.046967264,-0.1,-0.469672643,-3257.181102,3257.181102,26.498169,26.498169
small_appliances,73.19368,16608.18291,226.9073406,73.26456,19557.95896,266.9498125,-0.15,-0.070877075,-2949.776048,-0.000967413,-0.15,0.006449419,-2949.776048,2949.776048,-0.070877075,0.070877075
construction_tools_lights,91.98744,10757.03519,116.9402615,99.09086,13632.60092,137.5767782,-0.15,-7.1034164,-2875.565738,-0.07168589,-0.15,0.477905919,-2875.565738,2875.565738,-7.1034164,7.1034164
computers,28.998451,20749.57026,715.540625,27.899677,23486.29768,841.8125,-0.15,1.098774,-2736.727419,0.039383035,-0.15,-0.262553568,-2736.727419,2736.727419,1.098774,1.098774
sports_leisure,492.76062,44440.16462,90.18611508,444.0881,47118.32923,106.1013119,-0.15,48.672516,-2678.164611,0.109601036,-0.15,-0.730673571,-2678.164611,2678.164611,48.672516,48.672516
garden_tools,222.37796,21247.27602,95.54577915,211.44011,23767.30651,112.406799,-0.15,10.937851,-2520.030484,0.051730257,-0.15,-0.344868377,-2520.030484,2520.030484,10.937851,10.937851
office_furniture,97.53947,18536.40321,190.0400282,93.46699,20897.02188,223.5765038,-0.15,4.0724792,-2360.618667,0.043571312,-0.15,-0.290475413,-2360.618667,2360.618667,4.0724792,4.0724792
agro_industry_and_commerce,33.63311,5443.007632,161.8348056,40.933495,7793.487444,190.3938889,-0.15,-7.3003845,-2350.479812,-0.17834745,-0.15,1.188983023,-2350.479812,2350.479812,-7.3003845,7.3003845
electronics,227.87653,18404.56153,80.76550124,218.28856,20741.39398,95.01823676,-0.15,9.587967,-2336.83245,0.04392336,-0.15,-0.292822396,-2336.83245,2336.83245,9.587967,9.587967
fixed_telephony,48.553604,10950.50723,225.5343958,49.85666,13228.6957,265.3345833,-0.15,-1.3030548,-2278.188464,-0.026136024,-0.15,0.174240159,-2278.188464,2278.188464,-1.3030548,1.3030548
home_appliances_2,44.744457,20182.94279,451.0713417,42.25154,22421.71713,530.6721667,-0.15,2.492916,-2238.774342,0.05900178,-0.15,-0.393345207,-2238.774342,2238.774342,2.492916,2.492916
stationery,228.38206,17467.72673,76.48467007,216.83475,19511.21728,89.98196479,-0.15,11.5473175,-2043.490552,0.053254,-0.15,-0.355026672,-2043.490552,2043.490552,11.5473175,11.5473175
baby,254.69905,21198.17058,83.22830612,236.46814,23153.9326,97.91565425,-0.15,18.230911,-1955.762028,0.07709669,-0.15,-0.513977955,-1955.762028,1955.762028,18.230911,18.230911
toys,238.05809,21008.08606,88.24773068,218.77393,22713.29724,103.8208596,-0.15,19.284164,-1705.211173,0.08814654,-0.15,-0.587643584,-1705.211173,1705.211173,19.284164,19.284164
food,141.46126,8318.169706,58.8017493,143.6372,9936.611095,69.17852859,-0.15,-2.175949,-1618.44139,-0.015148924,-0.15,0.100992825,-1618.44139,1618.44139,-2.175949,2.175949
industry_commerce_and_business,24.926487,5561.298708,223.108,26.727724,7015.493203,262.48,-0.15,-1.8012371,-1454.194495,-0.06739209,-0.15,0.44928059,-1454.194495,1454.194495,-1.8012371,1.8012371
furniture_living_room,76.41278,8035.960761,105.1651384,76.54932,9470.963588,123.7236922,-0.15,-0.13653564,-1435.002827,-0.00178363,-0.15,0.011890866,-1435.002827,1435.002827,-0.13653564,0.13653564
luggage_accessories,93.078705,8242.935733,88.55876857,92.80792,9669.359595,104.1867865,-0.15,0.27078247,-1426.423862,0.002917666,-0.15,-0.019451103,-1426.423862,1426.423862,0.27078247,0.27078247
small_appliances_home_oven_and_coffee,25.35779,4786.152247,188.7448527,27.93364,6202.742132,222.0527679,-0.15,-2.5758495,-1416.589885,-0.092213176,-0.15,0.614754508,-1416.589885,1416.589885,-2.5758495,2.5758495
fashion_bags_accessories,224.31259,12372.77504,55.15862768,208.05649,13501.30594,64.89250316,-0.15,16.256104,-1128.530898,0.07813312,-0.15,-0.520887474,-1128.530898,1128.530898,16.256104,16.256104
construction_tools_safety,42.09316,5821.057658,138.289875,45.016376,6917.010307,153.6554167,-0.1,-2.9232178,-1095.952649,-0.064936765,-0.1,0.649367645,-1095.952649,1095.952649,-2.9232178,2.9232178
signaling_and_security,29.722065,2789.548804,93.854475,45.213852,3857.747659,85.32225,0.1,-15.491787,-1068.198855,-0.34263363,0.1,-3.426336348,-1068.198855,1068.198855,-15.491787,15.491787
home_appliances,120.71273,8980.832756,74.39838909,114.69403,10038.88385,87.52751658,-0.15,6.0186996,-1058.05109,0.052476138,-0.15,-0.349840919,-1058.05109,1058.05109,6.0186996,6.0186996
home_confort,61.42701,6433.873438,104.7401344,60.304256,7430.913027,123.2236875,-0.15,1.1227531,-997.039589,0.01861814,-0.15,-0.124120936,-997.039589,997.039589,1.1227531,1.1227531
market_place,30.245071,3489.947942,115.3889792,36.48723,4431.814776,121.4620833,-0.05,-6.242157,-941.8668333,-0.17107786,-0.05,3.421557248,-941.8668333,941.8668333,-6.242157,6.242157
costruction_tools_tools,20.817587,2074.987048,99.67471875,25.273188,2963.644608,117.264375,-0.15,-4.4556007,-888.6575606,-0.17629753,-0.15,1.17531687,-888.6575606,888.6575606,-4.4556007,4.4556007
books_general_interest,70.57334,2705.450856,38.33530782,78.29363,3531.071179,45.10036214,-0.15,-7.720291,-825.6203227,-0.098606884,-0.15,0.65737923,-825.6203227,825.6203227,-7.720291,7.720291
unknown,63.4803,6675.443535,105.1577196,60.126976,7438.606926,123.7149643,-0.15,3.353325,-763.1633912,0.05577072,-0.15,-0.371804809,-763.1633912,763.1633912,3.353325,3.353325
