category,margin_rate
agro_industry_and_commerce,0.3
air_conditioning,0.3
art,0.3
arts_and_craftmanship,0.3
audio,0.3
auto,0.3
baby,0.3
bed_bath_table,0.3
books_general_interest,0.3
books_imported,0.3
books_technical,0.3
cds_dvds_musicals,0.3
christmas_supplies,0.3
cine_photo,0.3
computers,0.3
computers_accessories,0.3
consoles_games,0.3
construction_tools_construction,0.3
construction_tools_lights,0.3
construction_tools_safety,0.3
cool_stuff,0.3
costruction_tools_garden,0.3
costruction_tools_tools,0.3
diapers_and_hygiene,0.3
drinks,0.3
dvds_blu_ray,0.3
electronics,0.3
fashio_female_clothing,0.3
fashion_bags_accessories,0.3
fashion_childrens_clothes,0.3
fashion_male_clothing,0.3
fashion_shoes,0.3
fashion_sport,0.3
fashion_underwear_beach,0.3
fixed_telephony,0.3
flowers,0.3
food,0.3
food_drink,0.3
furniture_bedroom,0.3
furniture_decor,0.3
furniture_living_room,0.3
furniture_mattress_and_upholstery,0.3
garden_tools,0.3
health_beauty,0.3
home_appliances,0.3
home_appliances_2,0.3
home_comfort_2,0.3
home_confort,0.3
home_construction,0.3
housewares,0.3
industry_commerce_and_business,0.3
kitchen_dining_laundry_garden_furniture,0.3
la_cuisine,0.3
luggage_accessories,0.3
market_place,0.3
music,0.3
musical_instruments,0.3
office_furniture,0.3
party_supplies,0.3
perfumery,0.3
pet_shop,0.3
security_and_services,0.3
signaling_and_security,0.3
small_appliances,0.3
small_appliances_home_oven_and_coffee,0.3
sports_leisure,0.3
stationery,0.3
tablets_printing_image,0.3
telephony,0.3
toys,0.3
unknown,0.3
watches_gifts,0.3
