product_category_name_english,plan_units,plan_revenue,base_units,base_revenue,delta_units,delta_revenue,margin_rate,delta_margin
agro_industry_and_commerce,58.9255961,11219.0734213,40.20288,5361.411264826458,18.722715240625,5857.6621564735415,0.3,1757.2986469420623
construction_tools_safety,71.1712685,10935.850763,40.61852,6047.743855587057,30.552749670654293,4888.106907412944,0.3,1466.432072223883
small_appliances_home_oven_and_coffee,42.0391013,9334.8987631,36.232685,6254.359131349836,5.8064162108886705,3080.5396317501636,0.3,924.161889525049
books_technical,56.5336304,2801.8629571,35.30267,807.0190253448486,21.230960874853515,1994.8439317551515,0.3,598.4531795265455
air_conditioning,54.53130110000001,10222.4150583,50.363182,8464.177460061392,4.168119032128914,1758.2375982386075,0.3,527.4712794715822
christmas_supplies,38.4736753,2461.8054703,21.684496,1247.0257802570889,16.789179374096676,1214.779690042911,0.3,364.43390701287325
fashion_shoes,16.9510579,2932.5330186,11.738731,1841.891370302836,5.212326515722655,1090.641648297164,0.3,327.19249448914917
la_cuisine,14.8597594,2890.2231899,14.7945175,2071.232452392578,0.06524188291015598,818.9907375074217,0.3,245.6972212522265
market_place,17.8444857,2167.4283874000002,16.679039,1586.897739021778,1.1654466985351561,580.5306483782222,0.3,174.15919451346664
fashion_male_clothing,18.2961965,1956.0463891,11.021569,1432.6937870693207,7.2746272479858405,523.3526020306792,0.3,157.00578060920375
signaling_and_security,26.8443747,2290.4224455,29.20474,1780.32098236084,-2.3603658242919927,510.10146313915993,0.3,153.03043894174797
music,23.6646662,1784.6313585,14.898468,1288.053560562134,8.766198182421874,496.5777979378661,0.3,148.9733393813598
costruction_tools_garden,22.7603645,2641.2716671,24.808233,2158.5569016265868,-2.047868761108397,482.7147654734131,0.3,144.81442964202392
cine_photo,29.5556488,1732.9523657,18.797117,1385.0378472131094,10.758531566723633,347.91451848689053,0.3,104.37435554606715
flowers,15.084137,665.00303845,13.448966,322.7079398012161,1.6351709736938478,342.29509864878383,0.3,102.68852959463514
home_comfort_2,26.7823667,328.21790455999997,10.236606,132.05221281051635,16.545761055773927,196.1656917494836,0.3,58.84970752484508
fashion_sport,10.5508431,816.6352574,7.929984,628.6366089820863,2.6208590072875975,187.99864841791373,0.3,56.39959452537412
drinks,16.459122999999998,710.44491082,20.513702,523.7368304872513,-4.054579392578127,186.70808033274875,0.3,56.01242409982462
cds_dvds_musicals,8.9024859,578.66159171,7.57539,492.40034103393555,1.3270960379394534,86.26125067606449,0.3,25.878375202819345
furniture_mattress_and_upholstery,9.3732578,1077.6903106,8.289705,1001.5132848262787,1.0835525235107415,76.17702577372131,0.3,22.853107732116392
fashion_underwear_beach,26.0819087,1823.4514421,15.99086,1758.1950553894044,10.091048714648437,65.2563867105955,0.3,19.57691601317865
fashion_childrens_clothes,11.1137343,583.35991367,6.822988,614.000693116188,4.290746266705323,-30.64077944618805,0.3,-9.192233833856415
dvds_blu_ray,15.0401361,710.7780262900001,15.419288,756.7875027016232,-0.37915158157959006,-46.009476411623154,0.3,-13.802842923486946
art,13.6451216,1229.44819562,13.154465,1282.5602638721466,0.490656878320312,-53.11206825214663,0.3,-15.933620475643988
diapers_and_hygiene,9.4579728,659.4335144199999,8.114035,735.1199020123481,1.3439381472900394,-75.68638759234818,0.3,-22.705916277704453
fashio_female_clothing,17.2017678,634.14316564,20.274502,731.5280892348289,-3.0727340005371104,-97.38492359482893,0.3,-29.21547707844868
food_drink,48.6327035,2130.953366,47.153625,2362.6573568958706,1.479078011718748,-231.70399089587045,0.3,-69.51119726876114
tablets_printing_image,8.94159264,569.57945457,17.375008,1035.9663269577027,-8.433414989394532,-466.3868723877026,0.3,-139.9160617163108
party_supplies,8.9073546,805.9114584499999,18.817194,1495.1175813039142,-9.909839384985352,-689.2061228539143,0.3,-206.76183685617428
books_imported,9.9907654,2170.5187584,18.307686,2945.2329630565646,-8.31692045205078,-774.7142046565646,0.3,-232.41426139696935
home_appliances,128.240849,11224.60308,143.3215,12120.125200673203,-15.080653685546878,-895.5221206732022,0.3,-268.6566362019606
kitchen_dining_laundry_garden_furniture,18.3112946,2493.8217453,31.08872,3508.268178976604,-12.777425721655273,-1014.4464336766036,0.3,-304.33393010298107
industry_commerce_and_business,41.2210112,11360.675626,30.296707,12496.634283065796,10.924304046679687,-1135.9586570657957,0.3,-340.7875971197387
small_appliances,55.5087963,14818.06287,63.085667,16431.406629713274,-7.57687035649414,-1613.3437597132743,0.3,-484.00312791398227
audio,28.8683651,2067.6485327,42.95216,3814.1238003932103,-14.083794781591799,-1746.4752676932103,0.3,-523.9425803079631
musical_instruments,60.922725,14908.042586,84.79858,16714.28612366242,-23.87585135498047,-1806.2435376624198,0.3,-541.8730612987259
home_confort,24.3666931,3864.1524166,46.555473,6050.377864870643,-22.18878022763672,-2186.225448270643,0.3,-655.8676344811929
costruction_tools_tools,26.6739194,3127.9004919,25.989801,6112.13188188235,0.6841179931396475,-2984.2313899823503,0.3,-895.269416994705
fixed_telephony,18.6086161,4937.5094344,24.605076,7933.162166034698,-5.996459736181642,-2995.6527316346983,0.3,-898.6958194904095
electronics,204.035475,19387.090868,281.00882,22406.364982374987,-76.97334458007813,-3019.274114374988,0.3,-905.7822343124964
books_general_interest,19.2523714,716.83402242,61.108707,4397.032190028352,-41.856336027978514,-3680.1981676083515,0.3,-1104.0594502825054
computers,44.207609,40935.9698,28.875534,44774.24992275238,15.33207494238281,-3838.2801227523814,0.3,-1151.4840368257144
food,134.635577,9313.891059,187.92229,13275.07364454735,-53.286709987304675,-3961.1825855473508,0.3,-1188.3547756642051
consoles_games,68.2120914,4925.4464839,102.09039,10550.841924530923,-33.878301666406244,-5625.395440630923,0.3,-1687.618632189277
furniture_living_room,66.7657206,8260.5014927,102.234116,13983.911315418829,-35.46839500058594,-5723.40982271883,0.3,-1717.0229468156488
unknown,27.2847241,4259.8470231,94.45896,10461.42681107341,-67.1742373868164,-6201.57978797341,0.3,-1860.473936392023
home_construction,57.6802208,10331.052004,110.51143,17125.304310409505,-52.83120803300781,-6794.252306409506,0.3,-2038.2756919228516
fashion_bags_accessories,99.459251,6268.0352391,188.49161,13572.218017919431,-89.03235666601563,-7304.182778819431,0.3,-2191.2548336458294
home_appliances_2,29.5868797,15530.611829,38.278595,23273.64465417862,-8.691715270703124,-7743.032825178621,0.3,-2322.909847553586
luggage_accessories,28.4662505,2349.996761,118.32327,12614.937077742428,-89.85702220507812,-10264.940316742428,0.3,-3079.482095022728
pet_shop,254.21335499999998,32157.142696,353.52414,44103.53664744449,-99.3107844042969,-11946.39395144449,0.3,-3583.918185433347
construction_tools_lights,26.967923900000002,2732.050338,118.79241,15094.513392172883,-91.82448790419922,-12362.463054172884,0.3,-3708.738916251865
office_furniture,25.4242469,8186.035497,104.06775,21828.7589890965,-78.6435021234375,-13642.723492096498,0.3,-4092.8170476289492
toys,137.873643,13184.815871,293.55112,30912.767828269687,-155.6774739433594,-17727.951957269688,0.3,-5318.385587180906
stationery,131.835533,10768.136293,325.9643,28811.134806903854,-194.12876143359375,-18042.998513903854,0.3,-5412.8995541711565
baby,154.588586,15434.151939,388.09662,39150.781338926485,-233.50803265234376,-23716.629399926485,0.3,-7114.988819977945
garden_tools,95.672075,9489.6024999,287.02725,35675.646891925535,-191.35517719726562,-26186.044392025535,0.3,-7855.81331760766
perfumery,159.269434,16882.804392,389.48334,43424.18591173986,-230.21390340234376,-26541.381519739865,0.3,-7962.414455921959
cool_stuff,79.70759,9696.507344,226.67867,36423.501839816476,-146.97107516113283,-26726.994495816478,0.3,-8018.098348744943
construction_tools_construction,120.330422,14959.731372,317.7886,47362.07086825018,-197.45818273632813,-32402.339496250177,0.3,-9720.701848875053
telephony,178.134164,17918.558758,509.21762,64165.12397529634,-331.0834568496094,-46246.56521729634,0.3,-13873.969565188901
computers_accessories,262.164778,22419.799497,792.7353,74402.72246272801,-530.5705125273437,-51982.92296572801,0.3,-15594.876889718402
sports_leisure,358.367551,38640.279098,827.41986,91022.33828140295,-469.05230983984376,-52382.05918340295,0.3,-15714.617755020883
auto,245.001463,27834.439026,680.91205,84146.36935377218,-435.91058533984375,-56311.930327772185,0.3,-16893.579098331655
furniture_decor,225.90322700000002,20997.960364,784.7048,77935.45280578126,-558.8015459492187,-56937.49244178126,0.3,-17081.247732534375
bed_bath_table,370.187026,36534.231846,1081.7588,97723.86681426577,-711.5717630624999,-61189.63496826577,0.3,-18356.89049047973
housewares,385.684386,33828.488356,1054.3861,106282.83024206503,-668.7017223984375,-72454.34188606503,0.3,-21736.302565819507
