order_week,product_category_name_english,units,revenue,avg_price,rev_count,rev_score_avg,weekofyear,year,sin_woy,cos_woy,is_holiday_week,units_lag1,units_lag2,units_lag4,units_lag8,units_lag12,units_lag52,revenue_lag1,revenue_lag2,revenue_lag4,revenue_lag8,revenue_lag12,revenue_lag52,avg_price_lag1,avg_price_lag2,avg_price_lag4,avg_price_lag8,avg_price_lag12,avg_price_lag52,rev_count_lag1,rev_count_lag2,rev_count_lag4,rev_count_lag8,rev_count_lag12,rev_count_lag52,rev_score_avg_lag1,rev_score_avg_lag2,rev_score_avg_lag4,rev_score_avg_lag8,rev_score_avg_lag12,rev_score_avg_lag52,units_roll4,revenue_roll4,max_warmup
2017-01-23,agro_industry_and_commerce,2,43.98,21.99,0,,4,2017,0.4647231720437685,0.8854560256532099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.98,52
2017-01-30,agro_industry_and_commerce,2,43.98,21.99,0,,5,2017,0.5680647467311558,0.8229838658936564,0,2.0,,,,,,43.98,,,,,,21.99,,,,,,0.0,,,,,,,,,,,,2.0,43.98,52
2017-02-06,agro_industry_and_commerce,2,114.89,57.445,0,,6,2017,0.6631226582407952,0.7485107481711011,0,2.0,2.0,,,,,43.98,43.98,,,,,21.99,21.99,,,,,0.0,0.0,,,,,,,,,,,2.0,67.61666666666666,52
2017-02-13,agro_industry_and_commerce,3,65.97,21.99,0,,7,2017,0.7485107481711011,0.6631226582407953,0,2.0,2.0,,,,,114.89,43.98,,,,,57.445,21.99,,,,,0.0,0.0,,,,,,,,,,,2.25,67.205,52
2017-02-20,agro_industry_and_commerce,1,21.99,21.99,0,,8,2017,0.8229838658936564,0.5680647467311559,0,3.0,2.0,2.0,,,,65.97,114.89,43.98,,,,21.99,57.445,21.99,,,,0.0,0.0,0.0,,,,,,,,,,2.0,61.7075,52
2017-03-13,agro_industry_and_commerce,1,59.99,59.99,0,,11,2017,0.970941817426052,0.23931566428755804,0,1.0,3.0,2.0,,,,21.99,65.97,43.98,,,,21.99,21.99,21.99,,,,0.0,0.0,0.0,,,,,,,,,,1.75,65.71000000000001,52
2017-03-20,agro_industry_and_commerce,1,22.0,22.0,0,,12,2017,0.992708874098054,0.120536680255323,0,1.0,1.0,2.0,,,,59.99,21.99,114.89,,,,59.99,21.99,57.445,,,,0.0,0.0,0.0,,,,,,,,,,1.5,42.4875,52
2017-05-01,agro_industry_and_commerce,1,59.99,59.99,0,,18,2017,0.8229838658936565,-0.5680647467311557,1,1.0,1.0,3.0,,,,22.0,59.99,65.97,,,,22.0,59.99,21.99,,,,0.0,0.0,0.0,,,,,,,,,,1.0,40.9925,52
2017-05-08,agro_industry_and_commerce,1,589.99,589.99,0,,19,2017,0.7485107481711013,-0.663122658240795,0,1.0,1.0,1.0,2.0,,,59.99,22.0,21.99,43.98,,,59.99,22.0,21.99,21.99,,,0.0,0.0,0.0,0.0,,,,,,,,,1.0,182.9925,52
2017-05-15,agro_industry_and_commerce,1,869.97,869.97,0,,20,2017,0.6631226582407952,-0.7485107481711012,0,1.0,1.0,1.0,2.0,,,589.99,59.99,59.99,43.98,,,589.99,59.99,59.99,21.99,,,0.0,0.0,0.0,0.0,,,,,,,,,1.0,385.4875,52
2017-05-22,agro_industry_and_commerce,1,59.99,59.99,0,,21,2017,0.5680647467311558,-0.8229838658936564,0,1.0,1.0,1.0,2.0,,,869.97,589.99,22.0,114.89,,,869.97,589.99,22.0,57.445,,,0.0,0.0,0.0,0.0,,,,,,,,,1.0,394.985,52
2017-06-26,agro_industry_and_commerce,1,1390.0,1390.0,0,,26,2017,-3.216245299353273e-16,-1.0,0,1.0,1.0,1.0,3.0,,,59.99,869.97,59.99,65.97,,,59.99,869.97,59.99,21.99,,,0.0,0.0,0.0,0.0,,,,,,,,,1.0,727.4875,52
2017-07-10,agro_industry_and_commerce,1,1180.0,1180.0,0,,28,2017,-0.23931566428755743,-0.9709418174260521,0,1.0,1.0,1.0,1.0,2.0,,1390.0,59.99,589.99,21.99,43.98,,1390.0,59.99,589.99,21.99,21.99,,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,874.99,52
