order_week,product_category_name_english,units,revenue,avg_price,rev_count,rev_score_avg,weekofyear,year,sin_woy,cos_woy,is_holiday_week,units_lag1,units_lag2,units_lag4,units_lag8,units_lag12,units_lag52,revenue_lag1,revenue_lag2,revenue_lag4,revenue_lag8,revenue_lag12,revenue_lag52,avg_price_lag1,avg_price_lag2,avg_price_lag4,avg_price_lag8,avg_price_lag12,avg_price_lag52,rev_count_lag1,rev_count_lag2,rev_count_lag4,rev_count_lag8,rev_count_lag12,rev_count_lag52,rev_score_avg_lag1,rev_score_avg_lag2,rev_score_avg_lag4,rev_score_avg_lag8,rev_score_avg_lag12,rev_score_avg_lag52,units_roll4,revenue_roll4,week_idx,split
25-06-2018,agro_industry_and_commerce,4,1342.8,335.7,0,,26,2018,-3.22E-16,-1,0,3,2,1,4,5,2,634,295,465,811.9,1430,43.98,211.3333333,147.5,465,202.975,286,21.99,0,0,0,0,0,0,,,,,,,2.75,996.2,52,train
02-07-2018,agro_industry_and_commerce,2,613.9,306.95,0,,27,2018,-0.12053668,-0.992708874,0,4,3,2,1,3,2,1342.8,634,1713,45,935.5,43.98,335.7,211.3333333,856.5,45,311.8333333,21.99,0,0,0,0,0,0,,,,,,,2.75,721.425,53,train
09-07-2018,agro_industry_and_commerce,1,559.99,559.99,0,,28,2018,-0.239315664,-0.970941817,0,2,4,2,5,2,2,613.9,1342.8,295,2340.75,637,114.89,306.95,335.7,147.5,468.15,318.5,57.445,0,0,0,0,0,0,,,,,,,2.5,787.6725,54,train
16-07-2018,agro_industry_and_commerce,14,3294.54,235.3242857,0,,29,2018,-0.354604887,-0.935016243,0,1,2,3,1,3,3,559.99,613.9,634,429,2116.3,65.97,559.99,306.95,211.3333333,429,705.4333333,21.99,0,0,0,0,0,0,,,,,,,5.25,1452.8075,55,train
23-07-2018,agro_industry_and_commerce,10,2737.54,273.754,0,,30,2018,-0.464723172,-0.885456026,0,14,1,4,1,4,1,3294.54,559.99,1342.8,465,811.9,21.99,235.3242857,559.99,335.7,465,202.975,21.99,0,0,0,0,0,0,,,,,,,6.75,1801.4925,56,train
30-07-2018,agro_industry_and_commerce,9,3209.12,356.5688889,0,,31,2018,-0.568064747,-0.822983866,0,10,14,2,2,1,1,2737.54,3294.54,613.9,1713,45,59.99,273.754,235.3242857,306.95,856.5,45,59.99,0,0,0,0,0,0,,,,,,,8.5,2450.2975,57,train
06-08-2018,agro_industry_and_commerce,4,833.7,208.425,0,,32,2018,-0.663122658,-0.748510748,0,9,10,1,2,5,1,3209.12,2737.54,559.99,295,2340.75,22,356.5688889,273.754,559.99,147.5,468.15,22,0,0,0,0,0,0,,,,,,,9.25,2518.725,58,train
13-08-2018,agro_industry_and_commerce,1,23.9,23.9,0,,33,2018,-0.748510748,-0.663122658,0,4,9,14,3,1,1,833.7,3209.12,3294.54,634,429,59.99,208.425,356.5688889,235.3242857,211.3333333,429,59.99,0,0,0,0,0,0,,,,,,,6,1701.065,59,valid
20-08-2018,agro_industry_and_commerce,6,1036.09,172.6816667,0,,34,2018,-0.822983866,-0.568064747,0,1,4,10,4,1,1,23.9,833.7,2737.54,1342.8,465,589.99,23.9,208.425,273.754,335.7,465,589.99,0,0,0,0,0,0,,,,,,,5,1275.7025,60,valid
12-03-2018,air_conditioning,7,831.7,118.8142857,0,,11,2018,0.970941817,0.239315664,0,3,4,4,7,4,10,443.9,657.2,637.7,938.69,561.85,1707.09,147.9666667,164.3,159.425,134.0985714,140.4625,170.709,0,0,0,0,0,0,,,,,,,4.5,736.6725,52,train
