category,delta_units,delta_revenue
dvds_blu_ray,1.1943324,23.84971751689911
home_comfort_2,0.79041636,7.526081278324131
party_supplies,0.7307222,6.68158774018292
diapers_and_hygiene,0.20147806,1.3741375763416457
furniture_mattress_and_upholstery,0.22975141,0.4280338549614271
la_cuisine,0.19613028,-1.1779909133911133
art,0.3516066,-1.2105267941951752
cds_dvds_musicals,0.064958334,-2.354941725730896
flowers,0.058099627,-2.7791587419509867
fashion_childrens_clothes,0.048475266,-3.748948435604575
signaling_and_security,0.30116844,-5.730706890106205
fashion_male_clothing,0.08019006,-8.52715673375127
fashion_sport,0.10498977,-9.131473159790048
books_technical,0.0,-10.087737816810602
fashion_underwear_beach,0.108594656,-11.231454008817678
drinks,0.03243518,-12.337475971698751
cine_photo,1.2674909,-17.183057403167005
fashion_shoes,0.6175144,-18.398786660830083
fashio_female_clothing,0.43574893,-20.17367047333714
tablets_printing_image,1.1922488,-27.353083910608227
market_place,1.0731131,-32.1509189003706
agro_industry_and_commerce,0.6799798,-32.379226496855466
music,0.1694808,-36.11242511487008
food_drink,1.0347888,-38.941523515621725
christmas_supplies,0.8491161,-44.366975069379805
small_appliances_home_oven_and_coffee,1.2165465,-51.649199221883464
kitchen_dining_laundry_garden_furniture,1.0687937,-67.22799344498765
industry_commerce_and_business,0.23420477,-69.26467760443688
costruction_tools_garden,0.13907218,-70.22147769427295
construction_tools_safety,3.4529872,-84.67658791688784
home_confort,2.3549423,-104.6660118282316
books_imported,0.63625264,-114.65290044903753
audio,1.5962362,-147.7912802038989
books_general_interest,1.405935,-182.63794093574418
home_appliances,4.4156876,-273.99003092289934
air_conditioning,2.0020485,-275.9830066672507
furniture_living_room,4.8707075,-290.56079580610253
costruction_tools_tools,0.85895145,-297.949467042307
fixed_telephony,0.93351454,-302.9092192321421
luggage_accessories,5.8144703,-302.9256287909237
consoles_games,3.5498247,-493.1118692800894
unknown,3.7182412,-559.9485312986411
food,3.873229,-584.724664658263
construction_tools_lights,6.6896663,-615.0810278747642
home_appliances_2,0.73186433,-642.3858566890715
home_construction,1.5677776,-668.9912569568712
garden_tools,19.39965,-764.0592734275773
small_appliances,3.5615377,-835.8897811387767
fashion_bags_accessories,5.574485,-958.6686975736593
musical_instruments,1.6834497,-968.3448995873051
toys,17.478933,-995.5022480260391
electronics,8.315863,-1024.9513824989117
stationery,17.092684,-1112.861045422229
office_furniture,4.1403904,-1209.041044298603
construction_tools_construction,2.8841286,-1406.2840998271602
baby,17.70501,-1730.297062390971
cool_stuff,8.826952,-2091.085475797268
pet_shop,15.701155,-2106.8800781724062
perfumery,16.416103,-2171.3121380252096
computers,0.64503884,-2511.8679629802687
telephony,23.215347,-2750.450445793727
sports_leisure,42.775642,-3464.2354023838825
furniture_decor,40.41169,-3983.977502457904
computers_accessories,22.62719,-4554.0903382379165
auto,23.422,-4602.226827330937
housewares,44.55394,-4982.007734423725
bed_bath_table,20.020737,-6905.2143312479475
watches_gifts,24.619865,-8756.980427561995
health_beauty,27.174057,-15743.046619894747
